Região,Município,CodMuns,Estado,Média Cob Vac,Média At Pr,Média Plano,IDHm,Média Var CobVac,Média Var At Pr,Média Var Plano,gini,IDHm_renda,Tipo_Urb,pop_area,Média_pop,Média_pop0a4,Média_pct_pop0a4,area_km2,Densidade,pct_san_adeq,média_familias_bf,média_pct_ben_bf
Nordeste,Serraria,251590,Paraíba,89.6155649,100.0,0.9642709,0.547,0.0454761,0.0,0.0577394,0.5151,0.536,Rural,93.2648858012358,6221.0,510.0,0.0820536,65.062,95.62,0.2661531,1086.0,0.6981297
Nordeste,Sertãozinho,251593,Paraíba,89.9101569,100.0,1.0955306,0.621,0.0184647,0.0,0.1021465,0.4742,0.554,Rural,156.80172546603,4772.0,340.0,0.0711945,32.455,147.03,0.5252119,604.0,0.5079875
Nordeste,Sobrado,251597,Paraíba,87.1831473,100.0,0.6138928,0.573,0.0970388,0.0,0.1654484,0.4921,0.525,Rural,126.144012396494,7660.0,572.0,0.0747437,61.953,123.64,0.0148976,1430.0,0.745719
Nordeste,Solânea,251600,Paraíba,87.075155,100.0,2.8507413,0.595,-0.0305084,0.0,0.0142269,0.5773,0.592,Urban,112.54146230524,27112.0,2033.0,0.074943,233.043,116.34,0.1933381,4452.0,0.6575709
Nordeste,Soledade,251610,Paraíba,92.0766414,99.3645455,2.5709094,0.616,0.0051257,0.0005253,-0.0212638,0.5216,0.598,Rural,26.1199838112139,14550.0,1143.0,0.078588,578.178,25.17,0.5402962,2055.0,0.5652533
Nordeste,Sossêgo,251615,Paraíba,98.6438152,99.7318182,0.1122128,0.573,0.0013655,-0.00295,0.2600512,0.4987,0.531,Rural,24.405149934811,3404.0,294.0,0.0864446,147.264,23.12,0.2841226,661.0,0.7763733
Nordeste,Sousa,251620,Paraíba,81.253096,100.0,6.7041843,0.668,0.0407226,0.0,0.0048255,0.5475,0.645,Urban,95.7086694157245,68351.0,4717.0,0.0690378,728.492,93.83,0.647406,9951.0,0.5817388
Nordeste,Sumé,251630,Paraíba,82.9904646,100.0,2.6068878,0.627,-0.0137494,0.0,0.0026777,0.5055,0.602,Semi-Urban,20.4376496282918,16709.0,1036.0,0.0620003,833.315,20.05,0.2355916,2789.0,0.667768
Nordeste,Tacima,251640,Paraíba,92.4253033,99.6272727,0.3624969,0.551,-0.0104114,0.0001424,-0.0039218,0.4933,0.513,Rural,44.7283433101176,10687.0,748.0,0.069967,245.236,43.58,0.1153404,1532.0,0.573647
Nordeste,Taperoá,251650,Paraíba,82.5183368,100.0,1.750581,0.578,-0.0117253,0.0,-0.0015435,0.4917,0.564,Rural,24.5732973669762,15122.0,1118.0,0.0739297,628.365,24.07,0.5559676,2609.0,0.6895763
Nordeste,Tavares,251660,Paraíba,89.9355255,100.0,0.6080349,0.586,0.0369091,0.0,0.0291227,0.5317,0.56,Rural,61.6224160462951,14600.0,1110.0,0.0760512,239.507,60.96,0.2467658,2322.0,0.63591
Nordeste,Teixeira,251670,Paraíba,86.7978635,100.0,1.3251129,0.605,0.0331569,0.0,-0.0266332,0.5611,0.566,Rural,98.0881558294522,14822.0,1265.0,0.0853977,155.452,95.34,0.3124307,2652.0,0.7148267
Nordeste,Tenório,251675,Paraíba,84.5923102,100.0,0.4205161,0.581,-0.0213406,0.0,0.0528464,0.4288,0.565,Rural,35.2307551571148,2970.0,229.0,0.0771402,87.452,33.96,0.0223152,429.0,0.5783709
Nordeste,Triunfo,251680,Paraíba,93.7304075,100.0,0.5793147,0.609,-0.0086207,0.0,-0.0167398,0.4869,0.578,Rural,42.1867199201198,9422.0,653.0,0.0693208,224.336,42.0,0.2194394,1543.0,0.6552431
Nordeste,Uiraúna,251690,Paraíba,92.7118462,100.0,3.7245139,0.636,0.0322698,0.0,0.0685862,0.5482,0.612,Semi-Urban,52.1860141482083,15017.0,968.0,0.06447,293.182,51.22,0.5659303,2080.0,0.5543282
Nordeste,Umbuzeiro,251700,Paraíba,89.4680532,100.0,1.5715728,0.584,0.0205324,0.0,0.038322,0.5487,0.545,Rural,53.4061149489703,9890.0,733.0,0.0740958,185.578,53.3,0.2804903,1416.0,0.5726994
Nordeste,Várzea,251710,Paraíba,89.8091359,100.0,2.2296869,0.707,0.0036124,0.0,-0.0013933,0.4078,0.619,Rural,14.8524168505139,2690.0,158.0,0.0587129,191.282,14.07,0.6733255,337.0,0.5029806
