regiao_geo,estado,codmun,nomemun,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Centro-Oeste,Goiás,520753,Faina,93.10345,93.10345,75.86207,100.00000,100.00000,100.00000,100.00000,70.49180,65.57377,67.08861,70.88608
Centro-Oeste,Goiás,520760,Fazenda Nova,100.00000,100.00000,51.72414,100.00000,83.33333,80.00000,100.00000,87.75510,95.91837,100.00000,100.00000
Centro-Oeste,Goiás,520780,Firminópolis,95.45455,100.00000,96.59091,71.68142,100.00000,94.50549,88.17204,98.92473,100.00000,86.86869,89.89899
Centro-Oeste,Goiás,520790,Flores de Goiás,100.00000,100.00000,100.00000,100.00000,66.66667,60.17699,100.00000,100.00000,100.00000,78.26087,75.65217
Centro-Oeste,Goiás,520800,Formosa,100.00000,100.00000,100.00000,100.00000,100.00000,98.93498,82.43243,89.24550,86.49103,75.35442,57.36096
Centro-Oeste,Goiás,520810,Formoso,65.27778,83.33333,94.44444,100.00000,45.61404,19.35484,87.50000,96.42857,76.92308,84.48276,86.20690
Centro-Oeste,Goiás,520815,Gameleira de Goiás,100.00000,100.00000,79.41176,100.00000,65.51724,100.00000,80.00000,82.85714,100.00000,57.14286,90.47619
Centro-Oeste,Goiás,520840,Goianápolis,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,97.97980,87.43961,98.06763
Centro-Oeste,Goiás,520850,Goiandira,100.00000,100.00000,100.00000,100.00000,54.92958,96.15385,100.00000,100.00000,80.00000,100.00000,86.04651
Centro-Oeste,Goiás,520860,Goianésia,100.00000,100.00000,86.89810,100.00000,69.13043,80.53993,100.00000,99.25214,87.96764,99.14984,87.88523
Centro-Oeste,Goiás,520870,Goiânia,95.55971,89.68984,94.20590,94.63103,92.40881,85.14307,76.23736,73.56657,81.04885,64.76795,71.85078
Centro-Oeste,Goiás,520880,Goianira,100.00000,100.00000,100.00000,100.00000,99.14821,100.00000,97.44624,100.00000,100.00000,100.00000,100.00000
Centro-Oeste,Goiás,520890,Goiás,91.07692,84.00000,56.30769,100.00000,52.38095,58.08219,27.24359,59.93590,75.61837,88.57143,79.28571
Centro-Oeste,Goiás,520910,Goiatuba,95.71106,94.80813,91.87359,96.19952,93.22799,81.67421,78.16901,96.00939,94.05034,82.13457,65.89327
Centro-Oeste,Goiás,520915,Gouvelândia,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,81.42857,77.14286,100.00000,83.33333,100.00000
Centro-Oeste,Goiás,520920,Guapó,97.17514,100.00000,100.00000,99.43503,100.00000,100.00000,55.44041,100.00000,72.90640,79.52381,100.00000
Centro-Oeste,Goiás,520929,Guaraíta,100.00000,100.00000,100.00000,69.69697,61.53846,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000
Centro-Oeste,Goiás,520940,Guarani de Goiás,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,88.46154,92.30769,100.00000,83.33333,100.00000
Centro-Oeste,Goiás,520945,Guarinos,100.00000,100.00000,100.00000,100.00000,95.83333,100.00000,100.00000,84.61538,75.00000,94.44444,100.00000
Centro-Oeste,Goiás,520960,Heitoraí,100.00000,100.00000,100.00000,100.00000,100.00000,85.10638,47.22222,94.44444,79.31034,100.00000,100.00000
Centro-Oeste,Goiás,520970,Hidrolândia,80.00000,99.64789,76.05634,100.00000,99.13793,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000
Centro-Oeste,Goiás,520980,Hidrolina,97.50000,100.00000,92.50000,100.00000,100.00000,97.50000,89.74359,92.30769,100.00000,57.69231,75.00000
Centro-Oeste,Goiás,520990,Iaciara,82.12766,67.23404,87.65957,90.11628,77.60417,94.47236,80.21390,85.56150,87.89809,90.56604,100.00000
Centro-Oeste,Goiás,520993,Inaciolândia,80.00000,100.00000,100.00000,100.00000,100.00000,78.57143,100.00000,100.00000,100.00000,100.00000,100.00000
