Estado,Região,CodMun,Município,Média Cob Vac,Média At Pr,Média Plano,IDHm,Média Var CobVac,Média Var At Pr,Média Var Plano
Goiás,Centro Oeste,521060,Itaguaru,96.6420053,100.0000000,2.3727259,0.718,0.0078286,0.0000000,0.0504130
Goiás,Centro Oeste,521080,Itajá,92.1498615,100.0000000,4.8245609,0.691,0.0145990,0.0000000,0.0240942
Goiás,Centro Oeste,521090,Itapaci,87.2067582,97.5709091,6.0098243,0.725,-0.0233900,-0.0103301,0.0976658
Goiás,Centro Oeste,521100,Itapirapuã,76.8859548,100.0000000,4.9303496,0.677,-0.0774522,0.0000000,0.2200754
Goiás,Centro Oeste,521120,Itapuranga,89.4209791,96.7490909,3.0534461,0.726,-0.0385472,0.0047531,0.0065592
Goiás,Centro Oeste,521130,Itarumã,83.5373946,94.8809091,2.8654489,0.693,0.0459647,0.0450880,0.0470991
Goiás,Centro Oeste,521140,Itauçu,98.6842105,100.0000000,2.3645531,0.718,-0.0059023,0.0000000,0.0415423
Goiás,Centro Oeste,521150,Itumbiara,83.8362696,61.3709091,21.6508161,0.752,-0.0190187,0.0353992,0.0838813
Goiás,Centro Oeste,521160,Ivolândia,86.7266872,100.0000000,1.9089401,0.704,0.0565055,0.0000000,0.0369014
Goiás,Centro Oeste,521170,Jandaia,88.7674695,100.0000000,3.6822694,0.707,0.0220431,0.0000000,0.1323099
Goiás,Centro Oeste,521180,Jaraguá,85.3105066,83.9754545,2.8151909,0.699,-0.0340988,0.0053454,-0.0061264
Goiás,Centro Oeste,521190,Jataí,90.6371816,79.7409091,17.5083885,0.757,-0.0169542,0.0258824,0.0066881
Goiás,Centro Oeste,521200,Jaupaci,93.1423478,100.0000000,1.6752817,0.689,-0.0053349,0.0000000,0.0677681
Goiás,Centro Oeste,521210,Joviânia,87.9017527,100.0000000,7.7268069,0.706,0.0555658,0.0000000,0.1904089
Goiás,Centro Oeste,521220,Jussara,87.9089504,84.6909091,4.6339329,0.743,0.0140718,0.0738221,0.0782380
Goiás,Centro Oeste,521225,Lagoa Santa,90.9888357,100.0000000,7.2877749,0.74,0.0362939,0.0000000,0.1134491
Goiás,Centro Oeste,521230,Leopoldo de Bulhões,88.3420731,100.0000000,7.6533242,0.659,0.0367821,0.0000000,0.2447554
Goiás,Centro Oeste,521250,Luziânia,85.3735288,38.9872727,14.0872518,0.701,-0.0086039,0.0700094,-0.0565149
